Default Dataset,,Red DS,
X,Y,X,Y
6252.920017776215,1.5277703329721638e-17,6508.890710119033,1.7812409753057605e-17
6251.454046767257,1.4354074865976928e-17,6512.695807229,1.691619491951535e-17
6251.546724685355,1.2234790377247624e-17,6511.979974055632,1.6062154901669218e-17
6260.740858299048,1.727995270489426e-17,6512.013172115846,1.5303008219139306e-17
6258.900786649052,1.6299388239959813e-17,6512.04637017606,1.4543861536609406e-17
6262.456898307411,1.9183091263181036e-17,6511.329845376437,1.3705637074649307e-17
6261.833143642722,1.8137155833917612e-17,6513.624661288743,1.2899043724461291e-17
6261.741295676129,2.0237461655583674e-17,6517.4306805670485,1.1981741483070982e-17
6275.522640422544,1.511322154850684e-17,6517.609258465951,1.1342793025274995e-17
6275.263972203375,1.4138983305926782e-17,6592.042629272184,1.090628368282029e-17
6281.46924295841,1.691619491951535e-17,6596.519940993071,1.1861543258337082e-17
6278.492483559205,1.6093786013441287e-17,6601.576835515198,1.3341879289270398e-17
6278.116238876777,1.3215354842182084e-17,6600.520122815213,1.2245334081171651e-17
6280.1560752432715,1.249838297534828e-17,6602.895167373037,1.5345183034835427e-17
6286.075473813129,1.4923434877874362e-17,6602.431408915211,1.4467946868356414e-17
6286.108671873343,1.4164288195344462e-17,6600.855331006543,1.6062154901669218e-17
6292.60387235425,1.7200874925464062e-17,6611.607352758412,1.1317488135857327e-17
6289.035634182228,1.612541712521337e-17,6614.165447731584,1.0231486631682595e-17
6299.286226899613,4.007016873667738e-17,6611.516058092824,1.340514151281455e-17
6298.219739215232,3.001147519315618e-17,6611.549256153038,1.264599483028465e-17
6298.433846942864,2.757587958670607e-17,6614.686472843279,9.799194770797515e-18
6297.6187160001045,2.653205289822746e-17,6676.378151488805,1.1380750359401479e-17
6297.651914060319,2.5772906215697547e-17,6680.048612021235,1.3563297071674946e-17
6297.685112120533,2.5013759533167647e-17,6678.841263123029,1.2466751863576211e-17
6297.718310180747,2.4254612850637747e-17,6679.374276423136,1.1760323700666435e-17
6297.751508240961,2.3495466168107847e-17,6679.864935848801,1.5303008219139306e-17
6297.784706301175,2.2736319485577934e-17,6680.7589121845685,1.4543861536609406e-17
6297.817904361389,2.1977172803048034e-17,6694.077370341407,1.0610101454409005e-17
6297.851102421604,2.1218026120518134e-17,6689.90221126856,1.2139897041931379e-17
6297.884300481818,2.0458879437988234e-17,6693.006229898587,1.0052243664974157e-17
6297.917498542032,1.9699732755458334e-17,6708.507418597765,1.1528362214337848e-17
6297.949313349737,1.8972217184700504e-17,6718.479101500934,1.3145766396283506e-17
6297.986200083309,1.8128720870778398e-17,6719.270736911792,1.2266421489019706e-17
6299.739856875179,6.222951981700625e-17,6718.42902776011,1.4290812642432776e-17
6299.117331768273,6.115546784394542e-17,6727.602758399298,1.1190963688769e-17
6299.150529828487,6.039632116141552e-17,7022.844173904152,1.1317488135857327e-17
6299.1837278887015,5.963717447888562e-17,7024.910476501984,1.2291726378437373e-17
6299.216925948916,5.887802779635571e-17,7031.128127366974,1.9952781649634963e-17
6299.25012400913,5.811888111382582e-17,7031.973294649927,1.7849312716791694e-17
6299.283322069344,5.735973443129591e-17,7027.122573914256,1.6821301584199118e-17
6299.316520129558,5.660058774876601e-17,7027.155771974471,1.6062154901669218e-17
6299.349718189773,5.584144106623611e-17,7027.188970034685,1.5303008219139306e-17
6299.382916249987,5.50822943837062e-17,7027.218479421542,1.462821116800161e-17
6299.416114310201,5.43231477011763e-17,7025.746237667876,1.3847977077623669e-17
6299.449312370415,5.3564001018646395e-17,7024.259241220782,1.340514151281455e-17
6299.482510430629,5.2804854336116495e-17,7034.950777112945,2.570101732530645e-17
6299.515708490843,5.2045707653586595e-17,7034.313181539816,2.4623642487978663e-17
6299.548906551057,5.128656097105669e-17,7034.34637960003,2.3864495805448763e-17
6299.5821046112715,5.052741428852679e-17,7034.078674131136,2.309691415977965e-17
6301.119728100192,4.98125511624778e-17,7034.11187219135,2.233776747724975e-17
6299.648500731701,4.900912092346698e-17,7034.145070251564,2.1578620794719836e-17
6299.681698791915,4.824997424093708e-17,7035.981845149749,2.091225870672137e-17
6299.714896852129,4.7490827558407176e-17,7035.317653403379,1.887732384938427e-17
6299.748094912343,4.6731680875877276e-17,7034.707935458196,3.035941742264904e-17
6299.781292972557,4.597253419334737e-17,7034.107999084325,2.931559073417043e-17
6299.814491032771,4.521338751081747e-17,7034.14119714454,2.855644405164053e-17
6299.847689092985,4.445424082828757e-17,7035.682693740485,2.7753013812629708e-17
6299.880887153199,4.369509414575767e-17,7035.715891800699,2.6993867130099808e-17
6299.914085213413,4.293594746322776e-17,7029.709256105945,2.6563684009999528e-17
6301.753811050283,4.2202105670115526e-17,7044.063728475225,1.981571349862262e-17
6301.787009110498,4.1442958987585626e-17,7044.163322655867,1.753827345103291e-17
6302.015153557636,4.0818771715283255e-17,7045.204450710918,1.6694777137110803e-17
6301.88660329114,3.9165518939995913e-17,7045.237648771132,1.593563045458089e-17
6301.919801351354,3.8406372257466013e-17,7044.520432345254,1.511322154850684e-17
6301.952999411568,3.7647225574936113e-17,7044.922267199097,2.3147523938614972e-17
6301.986197471782,3.6888078892406213e-17,7044.955465259311,2.2388377256085072e-17
6302.019395531997,3.612893220987631e-17,7044.988663319526,2.162923057355516e-17
6302.0525935922105,3.53697855273464e-17,7045.02186137974,2.087008389102526e-17
6302.0857916524255,3.46106388448165e-17,7045.121455560382,1.859264384343556e-17
6302.11898971264,3.38514921622866e-17,7048.315846687658,1.4438424497369133e-17
6302.152187772854,3.30923454797567e-17,,
6302.185385833068,3.23331987972268e-17,,
6302.218583893282,3.157405211469689e-17,,
6303.453275082748,3.0897146322774393e-17,,
6303.110030853033,2.8904386281133404e-17,,
6301.018553059539,6.688883278914745e-17,,
6300.418419078167,6.5849524830922e-17,,
6300.451617138382,6.509037814839209e-17,,
6300.484815198596,6.433123146586219e-17,,
6300.51801325881,6.357208478333229e-17,,
6296.018292847279,6.312924921852317e-17,,
6311.884752425647,1.7213527370172902e-17,,
6309.076196531527,4.0101799848449463e-17,,
6309.507771314311,3.0232892975560726e-17,,
6309.540969374525,2.9473746293030826e-17,,
6309.607365494953,2.7955452927971026e-17,,
6309.640563555167,2.7196306245441114e-17,,
6309.673761615382,2.6437159562911214e-17,,
6309.7069596755955,2.5678012880381314e-17,,
6309.7401577358105,2.4918866197851414e-17,,
6311.290783798315,2.3906670621144872e-17,,
6311.323981858529,2.3147523938614972e-17,,
6311.357179918743,2.2388377256085072e-17,,
6311.390377978957,2.162923057355516e-17,,
6311.423576039171,2.087008389102526e-17,,
6311.456774099385,2.011093720849536e-17,,
6311.489972159599,1.935179052596546e-17,,
6311.523170219814,1.859264384343556e-17,,
6310.038940277738,1.808654605508229e-17,,
6318.649687145793,1.637846601939001e-17,,
6317.383457799124,1.5480142445062956e-17,,
6317.416655859338,1.4720995762533044e-17,,
6317.7487286783135,1.4016676340408093e-17,,
6317.77962131768,1.3310248177498317e-17,,
6317.063788144311,1.2456208159652171e-17,,
6333.267306837604,1.837574479128416e-17,,
6332.667568071234,1.732739937255239e-17,,
6332.700766131449,1.6568252690022477e-17,,
6334.242539377896,1.5758496228657253e-17,,
6334.274077535099,1.5037306880253836e-17,,
6333.707497307443,1.4214897974179785e-17,,
6340.971786183312,1.3443098846941045e-17,,
6345.43083897108,1.2519470383196335e-17,,
6343.457398725015,1.1718148884970326e-17,,
6360.211721980446,1.4392032200103423e-17,,
6357.696138967714,1.3357694845156433e-17,,
6363.2798263453315,2.1893781690194375e-17,,
6362.64172777129,2.082790907532915e-17,,
6362.674003663165,2.0089849800647318e-17,,
6362.406113760603,1.9326485636547792e-17,,
6362.439311820817,1.8567338954017892e-17,,
6362.472509881031,1.780819227148798e-17,,
6362.505707941245,1.704904558895808e-17,,
6362.5389060014595,1.628989890642818e-17,,
6362.572104061674,1.553075222389828e-17,,
6362.899934906289,1.4923434877874362e-17,,
6363.874436298827,2.7085597354238846e-17,,
6363.919392005367,2.6057586221646258e-17,,
6363.952590065581,2.5298439539116358e-17,,
6363.985788125795,2.4539292856586458e-17,,
6364.018986186009,2.3780146174056558e-17,,
6364.052184246224,2.3020999491526658e-17,,
6369.948159740263,1.2203159265475542e-17,,
6372.4844915406275,1.391123930116782e-17,,
6370.509206957883,1.315209261863792e-17,,
6373.2397474105,1.960483942014209e-17,,
6373.272945470714,1.884569273761219e-17,,
6373.306143530928,1.808654605508229e-17,,
6373.339341591143,1.732739937255239e-17,,
6373.372539651356,1.6568252690022477e-17,,
6373.405737711571,1.5809106007492576e-17,,
6373.438935771785,1.5049959324962676e-17,,
6421.820128824934,1.0988524573427695e-17,,
6432.400996133033,1.0157680704214417e-17,,
6448.963416157058,1.0330597448568454e-17,,
6458.565955074013,1.120361613347784e-17,,
6464.9074300927605,1.3162636322561947e-17,,
6460.925968287906,1.2350771120411911e-17,,
6469.017660131172,1.5205239328207432e-17,,
6468.679744118264,1.4164288195344462e-17,,
6468.2641228477505,1.677912676850301e-17,,
6468.289943561251,1.6188679348757533e-17,,
6473.759323981538,1.1681245921236237e-17,,
6484.23262035286,1.3310248177498317e-17,,
6482.011347365612,1.2435120751804129e-17,,
6487.506917366735,1.0773433013377561e-17,,
6492.579857617965,1.188684814775475e-17,,
6490.148560791446,1.0073331072822199e-17,,
6495.478693792501,1.4491143016989282e-17,,
6498.333726970922,1.8097089759006316e-17,,
6496.875778826515,1.6990000846983542e-17,,
6496.908976886729,1.6230854164453642e-17,,
6496.942174946944,1.5471707481923742e-17,,
6495.53171847201,1.3278617065726235e-17,,
6494.047488529934,1.2772519277372964e-17,,
6498.256725914591,1.985788831431873e-17,,
6498.289923974806,1.9098741631788818e-17,,
6504.226843743109,2.11231327852019e-17,,
6499.729889836595,2.061703499684863e-17,,
6525.7004556916545,1.2329683712563857e-17,,
6533.6579999860505,1.7903788520399162e-17,,
6533.034737144474,1.6846606473616786e-17,,
6534.572637283896,1.612541712521337e-17,,
6534.60583534411,1.536627044268347e-17,,
6534.636266899306,1.467038598369772e-17,,
6534.67084821203,1.387960818939574e-17,,
6534.70335464599,1.3136277062751886e-17,,
6534.445378053075,1.9035479408244667e-17,,
6546.463905802117,1.2886391279752451e-17,,
6553.469249808315,1.4591308204267522e-17,,
6548.237788819562,1.3658190406991191e-17,,
6555.649532412881,1.640377090880768e-17,,
6555.391970795719,1.5404227776809952e-17,,
6554.093557774009,1.753827345103291e-17,,
6571.409204897561,1.426550775301511e-17,,
6572.7313868082165,1.3310248177498317e-17,,
6578.795219994214,1.5303008219139306e-17,,
6584.448572998188,1.2329683712563857e-17,,
6584.362811342635,1.4290812642432776e-17,,
6585.902371385068,1.3531665959902876e-17,,
6585.505377915008,1.112770146522485e-17,,
6626.705092809154,1.0537254045479373e-17,,
6634.857456143419,1.1109626544212235e-17,,
6646.093418665912,1.0061281125480452e-17,,
6664.35814827042,1.0674322196491703e-17,,
6736.674589436995,1.0421273302315073e-17,,
6754.763382496201,1.0136593296366362e-17,,
6772.8452592928625,1.0010068849278035e-17,,
6790.917453321962,1.010496218459428e-17,,
6808.993336024419,1.0115505888518308e-17,,
6823.816730994224,1.560877563293607e-17,,
6822.358782849817,1.4501686720913297e-17,,
6822.391980910031,1.3742540038383397e-17,,
6822.425178970245,1.2983393355853497e-17,,
6822.45837703046,1.2224246673323584e-17,,
6822.4906529223335,1.1486187398641751e-17,,
6820.520901349626,1.0600516269023524e-17,,
6829.852191036496,2.0300723879127838e-17,,
6828.173515313167,1.9320159414193378e-17,,
6828.20671337338,1.8561012731663478e-17,,
6828.239911433595,1.7801866049133578e-17,,
6828.2703429887915,1.710598159014783e-17,,
6825.281134317005,1.6568252690022477e-17,,
6832.397968475421,2.6057586221646258e-17,,
6832.4431547240465,2.5024303237091674e-17,,
6832.476352784261,2.4265156554561774e-17,,
6832.509550844476,2.3506009872031874e-17,,
6832.542748904689,2.2746863189501974e-17,,
6832.575946964904,2.1987716506972074e-17,,
6832.609145025117,2.122856982444216e-17,,
6832.217454023007,3.018544630790261e-17,,
6832.255493467002,2.931559073417043e-17,,
6832.2886915272165,2.855644405164053e-17,,
6832.321889587431,2.779729736911063e-17,,
6830.841809402882,2.7196306245441114e-17,,
6846.198678756962,2.0490510549760316e-17,,
6846.231876817175,1.9731363867230404e-17,,
6846.26507487739,1.8972217184700504e-17,,
6846.298272937604,1.8213070502170603e-17,,
6846.3314709978185,1.7453923819640703e-17,,
6846.364669058033,1.6694777137110803e-17,,
6846.397867118247,1.593563045458089e-17,,
6846.431065178461,1.517648377205099e-17,,
6846.464263238675,1.441733708952109e-17,,
6846.496769672634,1.3674005962877226e-17,,
6850.897741224501,1.2547586926993728e-17,,
6853.292919791065,1.1359662951553436e-17,,
6863.826848730696,2.2127420583965413e-17,,
6862.430870298689,2.1325571900543207e-17,,
6863.943041941446,2.808197737505934e-17,,
6863.978453205675,2.7272220913694105e-17,,
6864.011651265888,2.6513074231164205e-17,,
6864.044849326103,2.5753927548634305e-17,,
6864.078047386316,2.4994780866104405e-17,,
6864.111245446531,2.4235634183574505e-17,,
6864.144443506745,2.3476487501044593e-17,,
6862.161412709951,2.289447504443833e-17,,
6867.280369161312,2.065920981254474e-17,,
6866.11364177845,1.9781973646065727e-17,,
6866.146839838664,1.9022826963535827e-17,,
6866.180037898879,1.8263680281005927e-17,,
6866.213235959092,1.7504533598476027e-17,,
6866.246434019307,1.6745386915946127e-17,,
6866.279078778518,1.5998892678125055e-17,,
6867.5217928325355,1.5138526437924508e-17,,
6867.553330989739,1.441733708952109e-17,,
6867.586529049953,1.3658190406991191e-17,,
6865.0513038515965,3.029615519910489e-17,,
6863.880334494374,2.9515921108726935e-17,,
6863.904310871196,2.8967648504677555e-17,,
6878.860791499057,1.2628741496590795e-17,,
6875.206867121618,1.163379925357812e-17,,
6885.6435073014545,1.4101025971800298e-17,,
6884.916608108014,1.3500034848130795e-17,,
6902.236773856428,1.3568568923636953e-17,,
6910.473581462904,1.467038598369772e-17,,
6913.441349720802,1.5698397116290297e-17,,
6915.659164576777,1.6652602321414682e-17,,
6923.979520634792,1.9288528302421296e-17,,
6921.613605543527,1.8276332725714767e-17,,
6918.631313134287,1.7580448266729018e-17,,
6924.933016349944,2.1105057864189287e-17,,
6923.782545477521,2.0348170546785954e-17,,
6925.041305260643,2.256551148200871e-17,,
6921.450381747474,2.2008803914820116e-17,,
6943.95313356266,1.920719115786453e-17,,
6941.502010116845,1.817511316804412e-17,,
