Wavelength (A),Sky (erg/s/cm^2/A/arcsec^2)
5892.57195,2.28E-17
5892.599615,2.21E-17
5900.175689,2.11E-17
5900.208887,2.04E-17
5901.756746,1.94E-17
5901.789945,1.87E-17
5901.823143,1.79E-17
5901.856341,1.71E-17
5901.889539,1.64E-17
5903.42541,1.57E-17
5907.977233,1.50E-17
5917.673833,1.56E-17
5924.543065,1.50E-17
5933.507925,1.67E-17
5933.547486,1.58E-17
5943.627031,1.50E-17
5954.649279,1.55E-17
5959.511135,1.46E-17
5963.79516,1.31E-17
5966.346537,1.38E-17
5976.984934,1.46E-17
5982.596098,1.37E-17
5989.200239,1.28E-17
6005.127404,1.27E-17
6016.572238,1.18E-17
6034.862986,1.18E-17
6052.749824,1.13E-17
6064.799336,1.13E-17
6069.904092,1.17E-17
6076.811962,1.22E-17
6087.379089,1.16E-17
6092.137939,1.31E-17
6097.521005,1.40E-17
6103.316003,1.46E-17
6111.2982,1.58E-17
6112.831397,1.52E-17
6113.660518,1.69E-17
6114.154339,1.94E-17
6115.70349,1.84E-17
6116.482492,1.78E-17
6123.310918,1.67E-17
6123.344116,1.59E-17
6124.886442,1.51E-17
6125.683196,1.41E-17
6130.978978,1.36E-17
6139.347952,1.41E-17
6142.659854,1.52E-17
6142.834144,1.81E-17
6142.885324,1.69E-17
6142.928205,1.59E-17
6156.565345,1.41E-17
6160.600639,1.37E-17
6174.660017,1.37E-17
6174.693215,1.29E-17
6182.637234,1.21E-17
6200.687642,1.27E-17
6207.320914,1.31E-17
6220.508752,1.24E-17
6224.104655,1.28E-17
6225.875633,1.37E-17
6230.46734,1.20E-17
6231.780046,1.64E-17
6236.942345,1.55E-17
6237.136,1.45E-17
6237.633971,2.04E-17
6237.725819,1.83E-17
6237.759017,1.75E-17
6237.792215,1.67E-17
6238.349574,1.93E-17
6244.554107,1.37E-17
6251.454047,1.44E-17
6251.546725,1.22E-17
6252.015647,1.30E-17
6252.920018,1.53E-17
6258.900787,1.63E-17
6260.740858,1.73E-17
6261.741296,2.02E-17
6261.833144,1.81E-17
6262.456898,1.92E-17
6275.263972,1.41E-17
6275.52264,1.51E-17
6278.116239,1.32E-17
6278.492484,1.61E-17
6280.156075,1.25E-17
6281.469243,1.69E-17
6286.075474,1.49E-17
6286.108672,1.42E-17
6289.035634,1.61E-17
6292.603872,1.72E-17
6296.018293,6.31E-17
6297.618716,2.65E-17
6297.651914,2.58E-17
6297.685112,2.50E-17
6297.71831,2.43E-17
6297.751508,2.35E-17
6297.784706,2.27E-17
6297.817904,2.20E-17
6297.851102,2.12E-17
6297.8843,2.05E-17
6297.917499,1.97E-17
6297.949313,1.90E-17
6297.9862,1.81E-17
6298.219739,3.00E-17
6298.433847,2.76E-17
6299.117332,6.12E-17
6299.15053,6.04E-17
6299.183728,5.96E-17
6299.216926,5.89E-17
6299.250124,5.81E-17
6299.283322,5.74E-17
6299.286227,4.01E-17
6299.31652,5.66E-17
6299.349718,5.58E-17
6299.382916,5.51E-17
6299.416114,5.43E-17
6299.449312,5.36E-17
6299.48251,5.28E-17
6299.515708,5.20E-17
6299.548907,5.13E-17
6299.582105,5.05E-17
6299.648501,4.90E-17
6299.681699,4.82E-17
6299.714897,4.75E-17
6299.739857,6.22E-17
6299.748095,4.67E-17
6299.781293,4.60E-17
6299.814491,4.52E-17
6299.847689,4.45E-17
6299.880887,4.37E-17
6299.914085,4.29E-17
6300.418419,6.58E-17
6300.451617,6.51E-17
6300.484815,6.43E-17
6300.518013,6.36E-17
6301.018553,6.69E-17
6301.119728,4.98E-17
6301.753811,4.22E-17
6301.787009,4.14E-17
6301.886603,3.92E-17
6301.919801,3.84E-17
6301.952999,3.76E-17
6301.986197,3.69E-17
6302.015154,4.08E-17
6302.019396,3.61E-17
6302.052594,3.54E-17
6302.085792,3.46E-17
6302.11899,3.39E-17
6302.152188,3.31E-17
6302.185386,3.23E-17
6302.218584,3.16E-17
6303.110031,2.89E-17
6303.453275,3.09E-17
6309.076197,4.01E-17
6309.507771,3.02E-17
6309.540969,2.95E-17
6309.607365,2.80E-17
6309.640564,2.72E-17
6309.673762,2.64E-17
6309.70696,2.57E-17
6309.740158,2.49E-17
6310.03894,1.81E-17
6311.290784,2.39E-17
6311.323982,2.31E-17
6311.35718,2.24E-17
6311.390378,2.16E-17
6311.423576,2.09E-17
6311.456774,2.01E-17
6311.489972,1.94E-17
6311.52317,1.86E-17
6311.884752,1.72E-17
6317.063788,1.25E-17
6317.383458,1.55E-17
6317.416656,1.47E-17
6317.748729,1.40E-17
6317.779621,1.33E-17
6318.649687,1.64E-17
6332.667568,1.73E-17
6332.700766,1.66E-17
6333.267307,1.84E-17
6333.707497,1.42E-17
6334.242539,1.58E-17
6334.274078,1.50E-17
6340.971786,1.34E-17
6343.457399,1.17E-17
6345.430839,1.25E-17
6357.696139,1.34E-17
6360.211722,1.44E-17
6362.406114,1.93E-17
6362.439312,1.86E-17
6362.47251,1.78E-17
6362.505708,1.70E-17
6362.538906,1.63E-17
6362.572104,1.55E-17
6362.641728,2.08E-17
6362.674004,2.01E-17
6362.899935,1.49E-17
6363.279826,2.19E-17
6363.874436,2.71E-17
6363.919392,2.61E-17
6363.95259,2.53E-17
6363.985788,2.45E-17
6364.018986,2.38E-17
6364.052184,2.30E-17
6369.94816,1.22E-17
6370.509207,1.32E-17
6372.484492,1.39E-17
6373.239747,1.96E-17
6373.272945,1.88E-17
6373.306144,1.81E-17
6373.339342,1.73E-17
6373.37254,1.66E-17
6373.405738,1.58E-17
6373.438936,1.50E-17
6375.10368,1.14E-17
6379.386922,1.68E-17
6381.395404,1.22E-17
6383.992691,1.48E-17
6384.023584,1.41E-17
6384.059549,1.33E-17
6384.08583,1.27E-17
6384.630455,1.59E-17
6385.351506,1.82E-17
6385.39577,1.72E-17
6397.540727,1.50E-17
6398.28879,1.17E-17
6402.146497,1.31E-17
6402.677205,1.24E-17
6402.783757,1.42E-17
6403.537127,1.57E-17
6412.173326,1.11E-17
6412.692875,1.30E-17
6412.726074,1.23E-17
6421.820129,1.10E-17
6432.400996,1.02E-17
6448.963416,1.03E-17
6458.565955,1.12E-17
6460.925968,1.24E-17
6464.90743,1.32E-17
6468.264123,1.68E-17
6468.289944,1.62E-17
6468.679744,1.42E-17
6469.01766,1.52E-17
6473.759324,1.17E-17
6482.011347,1.24E-17
6484.23262,1.33E-17
6487.506917,1.08E-17
6490.148561,1.01E-17
6492.579858,1.19E-17
6494.047489,1.28E-17
6495.478694,1.45E-17
6495.531718,1.33E-17
6496.875779,1.70E-17
6496.908977,1.62E-17
6496.942175,1.55E-17
6498.256726,1.99E-17
6498.289924,1.91E-17
6498.333727,1.81E-17
6499.72989,2.06E-17
6504.226844,2.11E-17
6505.062328,1.92E-17
6505.77747,2.01E-17
6508.858434,1.86E-17
6508.89071,1.78E-17
6511.329845,1.37E-17
6511.979974,1.61E-17
6512.013172,1.53E-17
6512.04637,1.45E-17
6512.695807,1.69E-17
6513.624661,1.29E-17
6517.430681,1.20E-17
6517.609258,1.13E-17
6525.700456,1.23E-17
6533.034737,1.68E-17
6533.658,1.79E-17
6534.445378,1.90E-17
6534.572637,1.61E-17
6534.605835,1.54E-17
6534.636267,1.47E-17
6534.670848,1.39E-17
6534.703355,1.31E-17
6546.463906,1.29E-17
6548.237789,1.37E-17
6553.46925,1.46E-17
6554.093558,1.75E-17
6555.391971,1.54E-17
6555.649532,1.64E-17
6571.409205,1.43E-17
6572.731387,1.33E-17
6578.79522,1.53E-17
6584.362811,1.43E-17
6584.448573,1.23E-17
6585.505378,1.11E-17
6585.902371,1.35E-17
6592.042629,1.09E-17
6596.519941,1.19E-17
6600.520123,1.22E-17
6600.855331,1.61E-17
6601.576836,1.33E-17
6602.431409,1.45E-17
6602.895167,1.53E-17
6611.516058,1.34E-17
6611.549256,1.26E-17
6611.607353,1.13E-17
6614.165448,1.02E-17
6614.686473,9.80E-18
6626.705093,1.05E-17
6634.857456,1.11E-17
6646.093419,1.01E-17
6664.358148,1.07E-17
6676.378151,1.14E-17
6678.841263,1.25E-17
6679.374276,1.18E-17
6679.864936,1.53E-17
6680.048612,1.36E-17
6680.758912,1.45E-17
6689.902211,1.21E-17
6693.00623,1.01E-17
6694.07737,1.06E-17
6708.507419,1.15E-17
6718.429028,1.43E-17
6718.479102,1.31E-17
6719.270737,1.23E-17
6727.602758,1.12E-17
6736.674589,1.04E-17
6754.763382,1.01E-17
6772.845259,1.00E-17
6790.917453,1.01E-17
6808.993336,1.01E-17
6820.520901,1.06E-17
6822.358783,1.45E-17
6822.391981,1.37E-17
6822.425179,1.30E-17
6822.458377,1.22E-17
6822.490653,1.15E-17
6823.816731,1.56E-17
6825.281134,1.66E-17
6828.173515,1.93E-17
6828.206713,1.86E-17
6828.239911,1.78E-17
6828.270343,1.71E-17
6829.852191,2.03E-17
6830.841809,2.72E-17
6832.217454,3.02E-17
6832.255493,2.93E-17
6832.288692,2.86E-17
6832.32189,2.78E-17
