Wavelength (A),Transmittance
4590,3.10E-06
4595,3.29E-06
4600,2.96E-06
4605,3.69E-06
4610,2.83E-06
4615,2.71E-06
4620,3.74E-06
4625,2.31E-06
4630,2.84E-06
4635,3.64E-06
4640,2.52E-06
4645,2.57E-06
4650,2.83E-06
4655,3.49E-06
4660,2.92E-06
4665,3.84E-06
4670,2.77E-06
4675,2.72E-06
4680,2.77E-06
4685,3.30E-06
4690,3.08E-06
4695,3.83E-06
4700,2.98E-06
4705,3.34E-06
4710,2.87E-06
4715,2.56E-06
4720,2.13E-06
4725,3.27E-06
4730,2.80E-06
4735,2.68E-06
4740,2.22E-06
4745,3.49E-06
4750,3.84E-06
4755,2.79E-06
4760,3.64E-06
4765,2.71E-06
4770,3.55E-06
4775,3.30E-06
4780,3.08E-06
4785,2.83E-06
4790,3.40E-06
4795,2.56E-06
4800,3.10E-06
4805,2.91E-06
4810,3.57E-06
4815,3.46E-06
4820,3.64E-06
4825,3.78E-06
4830,3.04E-06
4835,3.35E-06
4840,3.17E-06
4845,3.03E-06
4850,3.55E-06
4855,3.94E-06
4860,2.49E-06
4865,3.77E-06
4870,3.66E-06
4875,3.26E-06
4880,2.68E-06
4885,2.72E-06
4890,2.67E-06
4895,3.44E-06
4900,3.32E-06
4905,3.55E-06
4910,4.41E-06
4915,3.27E-06
4920,2.82E-06
4925,2.98E-06
4930,3.65E-06
4935,4.01E-06
4940,3.94E-06
4945,3.53E-06
4950,3.42E-06
4955,2.58E-06
4960,4.32E-06
4965,3.75E-06
4970,4.59E-06
4975,3.35E-06
4980,3.88E-06
4985,3.29E-06
4990,3.56E-06
4995,3.55E-06
5000,3.31E-06
5005,3.60E-06
5010,4.34E-06
5015,3.83E-06
5020,3.66E-06
5025,3.14E-06
5030,3.65E-06
5035,2.70E-06
5040,3.23E-06
5045,4.47E-06
5050,3.22E-06
5055,4.23E-06
5060,4.39E-06
5065,3.37E-06
5070,3.89E-06
5075,4.91E-06
5080,4.39E-06
5085,4.73E-06
5090,3.38E-06
5095,4.31E-06
5100,4.46E-06
5105,4.04E-06
5110,3.47E-06
5115,3.63E-06
5120,3.03E-06
5125,2.88E-06
5130,2.45E-06
5135,3.55E-06
5140,3.47E-06
5145,4.11E-06
5150,3.35E-06
5155,4.01E-06
5160,3.27E-06
5165,2.91E-06
5170,3.65E-06
5175,4.22E-06
5180,2.62E-06
5185,3.54E-06
5190,3.77E-06
5195,3.51E-06
